caption	image
Functional connectivity matrix for motor task	613538_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	620434_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	123824_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	734045_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	169040_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	176441_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	156536_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	173940_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	153833_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	479762_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	146836_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	102816_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	512835_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	101107_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	368753_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	548250_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	645551_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	479762_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	111514_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	597869_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	285345_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	103111_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	116524_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	140824_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	119126_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	239944_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	561242_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	209228_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	654754_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	283543_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	169949_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	180735_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	125424_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	169545_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	589567_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	481042_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	169444_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	161731_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	126628_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	622236_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	139839_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	308331_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	144832_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	199251_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	436845_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	182436_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	187345_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	134829_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	724446_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	414229_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	310621_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	729254_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	194645_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	151021_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	199352_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	120515_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	286650_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	124624_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	118528_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	183034_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	679770_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	175035_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	626648_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	562345_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	204622_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	667056_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	406836_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	113316_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	191235_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	101915_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	123824_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	113215_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	200917_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	287248_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	121416_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	133827_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	342129_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	142828_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	734045_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	114419_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	127327_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	174841_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	366042_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	594156_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	445543_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	198451_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	130114_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	135629_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	445543_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	205119_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	154936_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	185846_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	137027_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	174841_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	172938_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	360030_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	155231_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	562446_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	468050_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	160830_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	737960_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	581450_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	376247_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	135225_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	178950_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	173738_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	210617_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	353740_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	329440_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	102008_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	113922_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	702133_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	555348_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	155635_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	170631_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	141422_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	170934_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	467351_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	154734_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	617748_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	103515_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	148032_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	200917_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	171330_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	693764_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	188347_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	100307_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	203923_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	167743_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	263436_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	148840_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	138231_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	101410_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	163331_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	217126_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	675661_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	137633_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	562446_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	175035_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	121618_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	108121_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	192641_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	168745_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	307127_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	391748_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	287248_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	203923_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	111211_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	104820_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	162329_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	206222_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	186848_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	138130_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	329844_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	233326_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	688569_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	189652_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	188145_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	677766_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	702133_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	239136_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	668361_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	176542_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	183741_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	627549_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	194645_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	156233_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	342129_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	134829_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	169343_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	473952_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	196952_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	210617_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	622236_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	126325_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	154431_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	317332_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	143830_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	268850_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	170934_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	123925_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	146432_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	164939_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	173334_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	156031_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	177645_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	461743_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	205826_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	680250_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	118528_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	202820_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	522434_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	150928_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	580751_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	181232_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	135730_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	206828_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	102109_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	627852_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	713239_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	339847_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	516742_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	189652_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	245333_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	295146_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	114823_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	499566_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	436845_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	378857_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	139233_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	663755_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	206727_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	727654_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	308129_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	395756_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	536647_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	161832_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	198855_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	475855_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	379657_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	275645_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	187143_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	148840_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	164030_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	171532_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	127226_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	638049_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	151728_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	671855_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	134324_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	395251_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	127630_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	473952_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	206323_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	579867_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	196346_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	188448_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	214423_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	180836_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	163129_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	293748_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	705341_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	131823_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	153934_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	679568_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	113619_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	126426_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	171734_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	614439_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	146735_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	316835_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	178849_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	130316_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	107725_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	541943_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	724446_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	692964_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	198653_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	173940_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	139637_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	144428_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	145834_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	198653_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	135730_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	118932_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	635245_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	134324_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	175136_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	180533_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	156637_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	322224_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	165032_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	393247_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	172029_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	171330_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	200210_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	580650_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	311320_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	196851_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	150524_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	128632_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	103212_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	168745_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	368753_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	545345_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	151223_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	541640_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	274542_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	178849_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	192035_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	529953_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	199150_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	135528_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	151223_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	182739_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	429040_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	154229_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	298455_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	481042_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	199453_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	183034_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	124826_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	510326_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	110007_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	255740_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	236130_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	156536_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	135528_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	700634_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	497865_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	203418_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	680452_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	119025_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	117122_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	311320_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	237334_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	401422_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	104012_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	122418_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	202719_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	663755_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	567052_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	585862_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	395958_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	705341_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	715041_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	353740_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	194746_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	186141_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	130720_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	213017_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	143224_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	524135_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	156031_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	627852_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	585862_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	140824_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	237334_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	148335_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	187345_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	694362_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	510326_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	201414_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	159441_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	181131_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	209834_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	205826_tfMRI_MOTOR_LR 
